Country;Continent;Sub Region;Year;GDP per Capita (Grouped);Life Expectancy (Grouped);C02 Emissions per Person (Tonnes);Child Mortality Rate (per 1000 births);GDP per Capita;Life Expectancy;Population Total
Chad;Africa;Middle Africa;2006;<5000;>=50 and <= 60;0,0391;165;1740;54,1;10500000
Cameroon;Africa;Middle Africa;2007;<5000;>=50 and <= 60;0,317;126;2660;55,6;18700000
Chad;Africa;Middle Africa;2007;<5000;>=50 and <= 60;0,0429;162;1740;54,9;10800000
Cameroon;Africa;Middle Africa;2008;<5000;>=50 and <= 60;0,293;120;2660;56,2;19300000
Chad;Africa;Middle Africa;2008;<5000;>=50 and <= 60;0,0458;158;1740;55,2;11200000
Cameroon;Africa;Middle Africa;2009;<5000;>=50 and <= 60;0,346;115;2640;56,8;19800000
Chad;Africa;Middle Africa;2009;<5000;>=50 and <= 60;0,0427;154;1750;55,9;11600000
Cameroon;Africa;Middle Africa;2010;<5000;>=50 and <= 60;0,34;108;2660;57,3;20300000
Chad;Africa;Middle Africa;2010;<5000;>=50 and <= 60;0,0435;150;1930;56,5;12000000
Cameroon;Africa;Middle Africa;2011;<5000;>=50 and <= 60;0,281;103;2690;57,7;20900000
Chad;Africa;Middle Africa;2011;<5000;>=50 and <= 60;0,0439;146;1860;57;12400000
Cameroon;Africa;Middle Africa;2012;<5000;>=50 and <= 60;0,291;97;2740;58,3;21500000
Chad;Africa;Middle Africa;2012;<5000;>=50 and <= 60;0,0482;142;1960;57,5;12800000
Cameroon;Africa;Middle Africa;2013;<5000;>=50 and <= 60;0,313;91,9;2820;58,8;22100000
Chad;Africa;Middle Africa;2013;<5000;>=50 and <= 60;0,0533;138;2010;58,2;13200000
Cameroon;Africa;Middle Africa;2014;<5000;>=50 and <= 60;0,315;87,5;2900;59,2;22700000
Chad;Africa;Middle Africa;2014;<5000;>=50 and <= 60;0,0538;135;2080;58,7;13700000
Egypt;Africa;Northern Africa;1966;<5000;>=50 and <= 60;0,838;260;2420;50,4;31200000
Morocco;Africa;Northern Africa;1966;<5000;>=50 and <= 60;0,375;207;2130;53,5;14600000
Sudan;Africa;Northern Africa;1966;<5000;>=50 and <= 60;0,292;162;2130;51;9050000
Tunisia;Africa;Northern Africa;1966;<5000;>=50 and <= 60;0,622;222;2730;52,4;4640000
Egypt;Africa;Northern Africa;1967;<5000;>=50 and <= 60;0,605;255;2350;50,7;32100000
Morocco;Africa;Northern Africa;1967;<5000;>=50 and <= 60;0,362;201;2200;54;15000000
Sudan;Africa;Northern Africa;1967;<5000;>=50 and <= 60;0,341;160;2010;51,4;9340000
Tunisia;Africa;Northern Africa;1967;<5000;>=50 and <= 60;0,652;211;2650;53,6;4740000
Egypt;Africa;Northern Africa;1968;<5000;>=50 and <= 60;0,686;250;2430;51;32900000
Morocco;Africa;Northern Africa;1968;<5000;>=50 and <= 60;0,368;196;2270;54,4;15300000
Sudan;Africa;Northern Africa;1968;<5000;>=50 and <= 60;0,322;158;2090;51,8;9640000
Tunisia;Africa;Northern Africa;1968;<5000;>=50 and <= 60;0,743;200;2870;54,9;4850000
Egypt;Africa;Northern Africa;1969;<5000;>=50 and <= 60;0,576;247;2580;51,3;33700000
Morocco;Africa;Northern Africa;1969;<5000;>=50 and <= 60;0,372;192;2340;54,9;15700000
Sudan;Africa;Northern Africa;1969;<5000;>=50 and <= 60;0,42;157;2160;52,2;9950000
Tunisia;Africa;Northern Africa;1969;<5000;>=50 and <= 60;0,779;190;2920;56,2;4950000
Egypt;Africa;Northern Africa;1970;<5000;>=50 and <= 60;0,619;243;3020;51,5;34500000
Morocco;Africa;Northern Africa;1970;<5000;>=50 and <= 60;0,456;187;2420;55,3;16000000
Sudan;Africa;Northern Africa;1970;<5000;>=50 and <= 60;0,472;156;2010;52,6;10300000
Tunisia;Africa;Northern Africa;1970;<5000;>=50 and <= 60;0,74;180;3030;57,5;5060000
Egypt;Africa;Northern Africa;1971;<5000;>=50 and <= 60;0,643;240;3050;52,5;35300000
Morocco;Africa;Northern Africa;1971;<5000;>=50 and <= 60;0,502;183;2490;55,8;16400000
Sudan;Africa;Northern Africa;1971;<5000;>=50 and <= 60;0,469;155;2100;53,4;10600000
Tunisia;Africa;Northern Africa;1971;<5000;>=50 and <= 60;0,815;171;3290;58,4;5180000
Egypt;Africa;Northern Africa;1972;<5000;>=50 and <= 60;0,696;236;3100;52,7;36100000
Morocco;Africa;Northern Africa;1972;<5000;>=50 and <= 60;0,482;179;2500;56,3;16700000
Sudan;Africa;Northern Africa;1972;<5000;>=50 and <= 60;0,49;154;2000;53,4;11000000
Tunisia;Africa;Northern Africa;1972;<5000;>=50 and <= 60;0,896;162;3800;59,5;5290000
Egypt;Africa;Northern Africa;1973;<5000;>=50 and <= 60;0,635;230;3050;53;36900000
Morocco;Africa;Northern Africa;1973;<5000;>=50 and <= 60;0,565;175;2540;56,8;17000000
Sudan;Africa;Northern Africa;1973;<5000;>=50 and <= 60;0,478;153;1780;53,4;11300000
Egypt;Africa;Northern Africa;1974;<5000;>=50 and <= 60;0,682;223;3060;54;37700000
Morocco;Africa;Northern Africa;1974;<5000;>=50 and <= 60;0,639;170;2620;57,4;17400000
Sudan;Africa;Northern Africa;1974;<5000;>=50 and <= 60;0,484;152;1900;53,5;11700000
Egypt;Africa;Northern Africa;1975;<5000;>=50 and <= 60;0,794;215;3150;54,8;38500000
Morocco;Africa;Northern Africa;1975;<5000;>=50 and <= 60;0,624;165;2740;57,8;17800000
Sudan;Africa;Northern Africa;1975;<5000;>=50 and <= 60;0,349;151;2080;53,5;12100000
Egypt;Africa;Northern Africa;1976;<5000;>=50 and <= 60;0,86;205;3500;55,5;39400000
Morocco;Africa;Northern Africa;1976;<5000;>=50 and <= 60;0,634;159;2990;58,5;18200000
Sudan;Africa;Northern Africa;1976;<5000;>=50 and <= 60;0,299;150;2390;53,9;12600000
Egypt;Africa;Northern Africa;1977;<5000;>=50 and <= 60;0,923;196;3690;56,2;40300000
Morocco;Africa;Northern Africa;1977;<5000;>=50 and <= 60;0,682;153;3070;59,1;18600000
Sudan;Africa;Northern Africa;1977;<5000;>=50 and <= 60;0,292;149;2670;54,4;13000000
Egypt;Africa;Northern Africa;1978;<5000;>=50 and <= 60;0,936;186;3890;57,1;41300000
Morocco;Africa;Northern Africa;1978;<5000;>=50 and <= 60;0,685;146;3100;59,7;19100000
Sudan;Africa;Northern Africa;1978;<5000;>=50 and <= 60;0,255;147;2550;54,5;13500000
Egypt;Africa;Northern Africa;1979;<5000;>=50 and <= 60;0,998;177;4200;58,1;42300000
Sudan;Africa;Northern Africa;1979;<5000;>=50 and <= 60;0,255;146;2200;54,8;14000000
Egypt;Africa;Northern Africa;1980;<5000;>=50 and <= 60;1,03;167;4510;58,8;43300000
Sudan;Africa;Northern Africa;1980;<5000;>=50 and <= 60;0,258;146;2150;54,9;14500000
Egypt;Africa;Northern Africa;1981;<5000;>=50 and <= 60;1,13;158;4480;59,2;44400000
Sudan;Africa;Northern Africa;1981;<5000;>=50 and <= 60;0,242;145;2130;55,5;15000000
Egypt;Africa;Northern Africa;1982;<5000;>=50 and <= 60;1,22;148;4680;59,8;45500000
Sudan;Africa;Northern Africa;1982;<5000;>=50 and <= 60;0,246;144;2320;55,7;15600000
Sudan;Africa;Northern Africa;1984;<5000;>=50 and <= 60;0,21;142;2040;50,2;16700000
Sudan;Africa;Northern Africa;1985;<5000;>=50 and <= 60;0,237;140;1840;50,5;17200000
Sudan;Africa;Northern Africa;1986;<5000;>=50 and <= 60;0,239;139;1860;56,6;17800000
Sudan;Africa;Northern Africa;1987;<5000;>=50 and <= 60;0,183;137;1860;56,9;18300000
Sudan;Africa;Northern Africa;1988;<5000;>=50 and <= 60;0,257;135;1850;57,5;18900000
Sudan;Africa;Northern Africa;1989;<5000;>=50 and <= 60;0,193;133;1950;58;19500000
Sudan;Africa;Northern Africa;1990;<5000;>=50 and <= 60;0,259;131;1740;58,6;20100000
Sudan;Africa;Northern Africa;1991;<5000;>=50 and <= 60;0,234;129;1830;59,1;20900000
Sudan;Africa;Northern Africa;1992;<5000;>=50 and <= 60;0,202;127;1900;59,3;21700000
Sudan;Africa;Northern Africa;1993;<5000;>=50 and <= 60;0,134;125;1930;59,8;22500000
Lesotho;Africa;Southern Africa;1966;<5000;>=50 and <= 60;;189;735;54,8;942000
Botswana;Africa;Southern Africa;1967;<5000;>=50 and <= 60;;135;1240;54,9;584000
Lesotho;Africa;Southern Africa;1967;<5000;>=50 and <= 60;;187;798;55;962000
Botswana;Africa;Southern Africa;1968;<5000;>=50 and <= 60;;130;1350;55,4;597000
Lesotho;Africa;Southern Africa;1968;<5000;>=50 and <= 60;;185;779;55,3;984000
Swaziland;Africa;Southern Africa;1968;<5000;>=50 and <= 60;0,66;182;3330;50,1;407000
Botswana;Africa;Southern Africa;1969;<5000;>=50 and <= 60;;125;1460;55,9;611000
Lesotho;Africa;Southern Africa;1969;<5000;>=50 and <= 60;;181;772;55,5;1010000
Swaziland;Africa;Southern Africa;1969;<5000;>=50 and <= 60;0,702;178;3390;50,7;419000
Botswana;Africa;Southern Africa;1970;<5000;>=50 and <= 60;;121;1570;56,5;628000
Lesotho;Africa;Southern Africa;1970;<5000;>=50 and <= 60;;178;774;55,8;1030000
Swaziland;Africa;Southern Africa;1970;<5000;>=50 and <= 60;0,823;174;4290;51,3;431000
Botswana;Africa;Southern Africa;1971;<5000;>=50 and <= 60;;116;1820;57,1;646000
Lesotho;Africa;Southern Africa;1971;<5000;>=50 and <= 60;;174;688;55,9;1050000
Swaziland;Africa;Southern Africa;1971;<5000;>=50 and <= 60;0,872;170;4260;52;444000
Botswana;Africa;Southern Africa;1972;<5000;>=50 and <= 60;0,0296;111;2320;57,7;667000
Lesotho;Africa;Southern Africa;1972;<5000;>=50 and <= 60;;169;803;56,1;1080000
Swaziland;Africa;Southern Africa;1972;<5000;>=50 and <= 60;0,808;165;4660;52,8;457000
Botswana;Africa;Southern Africa;1973;<5000;>=50 and <= 60;0,0668;106;2730;58,3;690000
Lesotho;Africa;Southern Africa;1973;<5000;>=50 and <= 60;;165;992;56,5;1100000
Swaziland;Africa;Southern Africa;1973;<5000;>=50 and <= 60;0,761;159;4790;53,5;471000
Botswana;Africa;Southern Africa;1974;<5000;>=50 and <= 60;0,111;101;3160;58,9;715000
Lesotho;Africa;Southern Africa;1974;<5000;>=50 and <= 60;;160;1030;56,8;1130000
Botswana;Africa;Southern Africa;1975;<5000;>=50 and <= 60;0,226;95,5;2980;59,5;741000
Lesotho;Africa;Southern Africa;1975;<5000;>=50 and <= 60;;155;924;57;1160000
Botswana;Africa;Southern Africa;1976;<5000;>=50 and <= 60;0,692;90,4;3370;60;770000
Lesotho;Africa;Southern Africa;1976;<5000;>=50 and <= 60;;149;1050;57,3;1190000
Lesotho;Africa;Southern Africa;1977;<5000;>=50 and <= 60;;143;1210;57,7;1230000
Lesotho;Africa;Southern Africa;1978;<5000;>=50 and <= 60;;137;1410;58,1;1270000
Lesotho;Africa;Southern Africa;1979;<5000;>=50 and <= 60;;131;1220;58,5;1300000
Lesotho;Africa;Southern Africa;1980;<5000;>=50 and <= 60;;125;1160;58,7;1340000
Lesotho;Africa;Southern Africa;1981;<5000;>=50 and <= 60;;119;1140;58,9;1380000
Lesotho;Africa;Southern Africa;1982;<5000;>=50 and <= 60;;114;1150;59,1;1420000
Lesotho;Africa;Southern Africa;1983;<5000;>=50 and <= 60;;109;1140;59,3;1450000
Lesotho;Africa;Southern Africa;1984;<5000;>=50 and <= 60;;105;1160;59,5;1490000
Lesotho;Africa;Southern Africa;1985;<5000;>=50 and <= 60;;102;1180;59,7;1530000
Lesotho;Africa;Southern Africa;1986;<5000;>=50 and <= 60;;98,7;1210;60;1560000
Lesotho;Africa;Southern Africa;1992;<5000;>=50 and <= 60;0,952;90,8;1520;60;1780000
Lesotho;Africa;Southern Africa;1993;<5000;>=50 and <= 60;0,962;91,9;1540;59,6;1820000
Lesotho;Africa;Southern Africa;1994;<5000;>=50 and <= 60;0,967;93,8;1600;58,6;1860000
Lesotho;Africa;Southern Africa;1995;<5000;>=50 and <= 60;0,97;96,5;1630;57,7;1900000
Lesotho;Africa;Southern Africa;1996;<5000;>=50 and <= 60;0,973;99,6;1700;56,5;1930000
Lesotho;Africa;Southern Africa;1997;<5000;>=50 and <= 60;0,978;103;1740;55;1970000
Lesotho;Africa;Southern Africa;1998;<5000;>=50 and <= 60;0,985;106;1740;52,8;2000000
Lesotho;Africa;Southern Africa;1999;<5000;>=50 and <= 60;0,987;108;1730;50,9;2020000
Ghana;Africa;Western Africa;1966;<5000;>=50 and <= 60;0,183;202;2230;53,7;7940000
Mauritania;Africa;Western Africa;1966;<5000;>=50 and <= 60;0,176;213;2540;51,9;1020000
Nigeria;Africa;Western Africa;1966;<5000;>=50 and <= 60;0,252;314;3260;53,1;51200000
Gambia;Africa;Western Africa;1967;<5000;>=50 and <= 60;0,0793;318;1600;51;427000
Ghana;Africa;Western Africa;1967;<5000;>=50 and <= 60;0,186;202;2210;54,1;8130000
Mauritania;Africa;Western Africa;1967;<5000;>=50 and <= 60;0,188;206;2600;52,5;1050000
Gambia;Africa;Western Africa;1968;<5000;>=50 and <= 60;0,0862;312;1580;52,3;439000
Ghana;Africa;Western Africa;1968;<5000;>=50 and <= 60;0,215;203;2180;54,5;8320000
Mauritania;Africa;Western Africa;1968;<5000;>=50 and <= 60;0,217;200;2800;53,1;1080000
Togo;Africa;Western Africa;1968;<5000;>=50 and <= 60;0,0999;233;1830;50,4;1950000
Gambia;Africa;Western Africa;1969;<5000;>=50 and <= 60;0,109;307;1690;53,6;451000
Ghana;Africa;Western Africa;1969;<5000;>=50 and <= 60;0,201;203;2240;54,9;8520000
Mauritania;Africa;Western Africa;1969;<5000;>=50 and <= 60;0,246;195;2720;53,6;1110000
Togo;Africa;Western Africa;1969;<5000;>=50 and <= 60;0,119;228;1970;51,1;2030000
Gambia;Africa;Western Africa;1970;<5000;>=50 and <= 60;0,107;300;1480;55;464000
Ghana;Africa;Western Africa;1970;<5000;>=50 and <= 60;0,305;202;2460;55,2;8740000
Mauritania;Africa;Western Africa;1970;<5000;>=50 and <= 60;0,373;191;2970;54,2;1150000
Nigeria;Africa;Western Africa;1970;<5000;>=50 and <= 60;0,385;286;3490;50,1;56000000
Togo;Africa;Western Africa;1970;<5000;>=50 and <= 60;0,13;223;1880;51,9;2120000
Gambia;Africa;Western Africa;1971;<5000;>=50 and <= 60;0,12;294;1600;55,4;478000
Ghana;Africa;Western Africa;1971;<5000;>=50 and <= 60;0,26;201;2530;55,5;8970000
Mauritania;Africa;Western Africa;1971;<5000;>=50 and <= 60;0,338;190;2960;54,5;1180000
Nigeria;Africa;Western Africa;1971;<5000;>=50 and <= 60;0,563;278;3900;50,5;57300000
Togo;Africa;Western Africa;1971;<5000;>=50 and <= 60;0,144;218;1960;52,3;2190000
Gambia;Africa;Western Africa;1972;<5000;>=50 and <= 60;0,139;288;1660;55,8;492000
Ghana;Africa;Western Africa;1972;<5000;>=50 and <= 60;0,267;198;2400;55,9;9230000
Mauritania;Africa;Western Africa;1972;<5000;>=50 and <= 60;0,367;189;2960;54,8;1220000
Nigeria;Africa;Western Africa;1972;<5000;>=50 and <= 60;0,706;270;3940;51;58700000
Togo;Africa;Western Africa;1972;<5000;>=50 and <= 60;0,178;213;1980;52,8;2250000
Gambia;Africa;Western Africa;1973;<5000;>=50 and <= 60;0,127;281;1680;56,1;507000
Ghana;Africa;Western Africa;1973;<5000;>=50 and <= 60;0,265;195;2460;56,2;9490000
Mauritania;Africa;Western Africa;1973;<5000;>=50 and <= 60;0,374;189;2750;55;1250000
Nigeria;Africa;Western Africa;1973;<5000;>=50 and <= 60;0,825;261;4050;51,5;60100000
Togo;Africa;Western Africa;1973;<5000;>=50 and <= 60;0,175;208;1850;53,2;2300000
Gambia;Africa;Western Africa;1974;<5000;>=50 and <= 60;0,123;275;1960;56,5;523000
Ghana;Africa;Western Africa;1974;<5000;>=50 and <= 60;0,306;191;2560;56,5;9750000
Mauritania;Africa;Western Africa;1974;<5000;>=50 and <= 60;0,375;188;2990;55,3;1290000
Nigeria;Africa;Western Africa;1974;<5000;>=50 and <= 60;1,01;253;4390;52,1;61700000
Togo;Africa;Western Africa;1974;<5000;>=50 and <= 60;0,16;203;1890;53,7;2360000
Gambia;Africa;Western Africa;1975;<5000;>=50 and <= 60;0,19;268;1780;56,9;540000
Ghana;Africa;Western Africa;1975;<5000;>=50 and <= 60;0,279;186;2190;56,7;9990000
Mauritania;Africa;Western Africa;1975;<5000;>=50 and <= 60;0,384;186;2760;54,8;1330000
Nigeria;Africa;Western Africa;1975;<5000;>=50 and <= 60;0,748;245;4060;52,6;63400000
Togo;Africa;Western Africa;1975;<5000;>=50 and <= 60;0,129;199;1830;54;2410000
Benin;Africa;Western Africa;1976;<5000;>=50 and <= 60;0,0778;235;1230;50;3350000
Gambia;Africa;Western Africa;1976;<5000;>=50 and <= 60;0,185;262;1920;57,2;558000
Ghana;Africa;Western Africa;1976;<5000;>=50 and <= 60;0,243;181;2070;56,9;10200000
Liberia;Africa;Western Africa;1976;<5000;>=50 and <= 60;0,884;257;2150;50,3;1650000
Mauritania;Africa;Western Africa;1976;<5000;>=50 and <= 60;0,378;182;2940;55,1;1370000
Nigeria;Africa;Western Africa;1976;<5000;>=50 and <= 60;0,847;237;4300;53;65200000
Togo;Africa;Western Africa;1976;<5000;>=50 and <= 60;0,131;194;1770;54,3;2460000
Benin;Africa;Western Africa;1977;<5000;>=50 and <= 60;0,0865;229;1260;50,3;3430000
Gambia;Africa;Western Africa;1977;<5000;>=50 and <= 60;0,206;255;1960;57,6;577000
Ghana;Africa;Western Africa;1977;<5000;>=50 and <= 60;0,295;176;2090;57;10400000
Liberia;Africa;Western Africa;1977;<5000;>=50 and <= 60;0,857;253;2110;50,6;1690000
Mauritania;Africa;Western Africa;1977;<5000;>=50 and <= 60;0,396;178;2860;55,5;1410000
Nigeria;Africa;Western Africa;1977;<5000;>=50 and <= 60;0,752;230;4430;53,5;67200000
Senegal;Africa;Western Africa;1977;<5000;>=50 and <= 60;0,432;232;2000;50,5;5180000
Togo;Africa;Western Africa;1977;<5000;>=50 and <= 60;0,183;189;1830;54,7;2520000
Benin;Africa;Western Africa;1978;<5000;>=50 and <= 60;0,103;223;1270;50,7;3520000
Gambia;Africa;Western Africa;1978;<5000;>=50 and <= 60;0,245;249;1800;58;597000
Ghana;Africa;Western Africa;1978;<5000;>=50 and <= 60;0,287;171;2230;57,3;10600000
Liberia;Africa;Western Africa;1978;<5000;>=50 and <= 60;0,851;249;2170;50,9;1740000
Mauritania;Africa;Western Africa;1978;<5000;>=50 and <= 60;0,403;173;2800;55,8;1450000
Nigeria;Africa;Western Africa;1978;<5000;>=50 and <= 60;0,697;224;4050;54;69300000
Senegal;Africa;Western Africa;1978;<5000;>=50 and <= 60;0,495;222;1860;51,1;5310000
Togo;Africa;Western Africa;1978;<5000;>=50 and <= 60;0,138;185;1960;55,1;2580000
Benin;Africa;Western Africa;1979;<5000;>=50 and <= 60;0,101;219;1330;51,1;3620000
Gambia;Africa;Western Africa;1979;<5000;>=50 and <= 60;0,251;243;2030;58,4;617000
Ghana;Africa;Western Africa;1979;<5000;>=50 and <= 60;0,252;168;2130;57,4;10800000
Liberia;Africa;Western Africa;1979;<5000;>=50 and <= 60;1,07;245;2210;51,3;1790000
Mauritania;Africa;Western Africa;1979;<5000;>=50 and <= 60;0,406;168;2890;56,8;1500000
Nigeria;Africa;Western Africa;1979;<5000;>=50 and <= 60;0,985;219;4210;54,4;71400000
Senegal;Africa;Western Africa;1979;<5000;>=50 and <= 60;0,532;213;1930;51,8;5440000
Togo;Africa;Western Africa;1979;<5000;>=50 and <= 60;0,523;181;2030;55,5;2640000
Benin;Africa;Western Africa;1980;<5000;>=50 and <= 60;0,139;215;1420;51,5;3720000
Gambia;Africa;Western Africa;1980;<5000;>=50 and <= 60;0,261;237;1770;58,7;637000
Ghana;Africa;Western Africa;1980;<5000;>=50 and <= 60;0,237;166;2090;57,6;11100000
Liberia;Africa;Western Africa;1980;<5000;>=50 and <= 60;1,08;242;2010;51,5;1850000
Mauritania;Africa;Western Africa;1980;<5000;>=50 and <= 60;0,411;164;2950;57,2;1540000
Nigeria;Africa;Western Africa;1980;<5000;>=50 and <= 60;0,928;215;4260;54,6;73400000
Senegal;Africa;Western Africa;1980;<5000;>=50 and <= 60;0,599;205;1810;52,4;5580000
Togo;Africa;Western Africa;1980;<5000;>=50 and <= 60;0,264;176;1880;55,9;2720000
Benin;Africa;Western Africa;1981;<5000;>=50 and <= 60;0,112;211;1470;52;3820000
Gambia;Africa;Western Africa;1981;<5000;>=50 and <= 60;0,252;230;1700;56,8;658000
Ghana;Africa;Western Africa;1981;<5000;>=50 and <= 60;0,274;164;1960;57,7;11300000
Liberia;Africa;Western Africa;1981;<5000;>=50 and <= 60;0,991;239;1870;51,7;1920000
Mauritania;Africa;Western Africa;1981;<5000;>=50 and <= 60;0,42;159;3010;57,5;1590000
Nigeria;Africa;Western Africa;1981;<5000;>=50 and <= 60;0,874;212;3610;54,9;75400000
Senegal;Africa;Western Africa;1981;<5000;>=50 and <= 60;0,573;199;1750;52,8;5740000
Togo;Africa;Western Africa;1981;<5000;>=50 and <= 60;0,223;172;1710;56,2;2810000
Benin;Africa;Western Africa;1982;<5000;>=50 and <= 60;0,125;208;1580;52,5;3930000
Gambia;Africa;Western Africa;1982;<5000;>=50 and <= 60;0,249;223;1860;59,5;678000
Ghana;Africa;Western Africa;1982;<5000;>=50 and <= 60;0,265;163;1770;57,5;11700000
Liberia;Africa;Western Africa;1982;<5000;>=50 and <= 60;0,296;237;1830;51,9;1990000
Mauritania;Africa;Western Africa;1982;<5000;>=50 and <= 60;0,544;155;2890;57,8;1630000
Nigeria;Africa;Western Africa;1982;<5000;>=50 and <= 60;0,847;210;3490;55,1;77400000
Senegal;Africa;Western Africa;1982;<5000;>=50 and <= 60;0,516;193;1950;53,5;5910000
Togo;Africa;Western Africa;1982;<5000;>=50 and <= 60;0,252;168;1590;56,4;2920000
Benin;Africa;Western Africa;1983;<5000;>=50 and <= 60;0,113;205;1470;53;4040000
Gambia;Africa;Western Africa;1983;<5000;>=50 and <= 60;0,24;216;1590;59,8;700000
Ghana;Africa;Western Africa;1983;<5000;>=50 and <= 60;0,307;161;1630;57,6;12000000
Liberia;Africa;Western Africa;1983;<5000;>=50 and <= 60;0,338;235;1720;52,1;2060000
Mauritania;Africa;Western Africa;1983;<5000;>=50 and <= 60;0,561;150;2970;58,1;1680000
Nigeria;Africa;Western Africa;1983;<5000;>=50 and <= 60;0,754;209;3230;55,3;79400000
Senegal;Africa;Western Africa;1983;<5000;>=50 and <= 60;0,432;187;1940;54,4;6090000
Togo;Africa;Western Africa;1983;<5000;>=50 and <= 60;0,181;165;1450;56,5;3030000
Benin;Africa;Western Africa;1984;<5000;>=50 and <= 60;0,121;202;1550;53,3;4160000
Ghana;Africa;Western Africa;1984;<5000;>=50 and <= 60;0,21;158;1710;57,7;12400000
Liberia;Africa;Western Africa;1984;<5000;>=50 and <= 60;0,324;235;1670;52,2;2110000
Mauritania;Africa;Western Africa;1984;<5000;>=50 and <= 60;0,507;145;2700;58,4;1730000
Nigeria;Africa;Western Africa;1984;<5000;>=50 and <= 60;0,854;209;3090;55,4;81400000
Senegal;Africa;Western Africa;1984;<5000;>=50 and <= 60;0,526;181;1800;55,3;6280000
Togo;Africa;Western Africa;1984;<5000;>=50 and <= 60;0,194;161;1440;56,4;3140000
Benin;Africa;Western Africa;1985;<5000;>=50 and <= 60;0,174;198;1610;53,7;4280000
Burkina Faso;Africa;Western Africa;1985;<5000;>=50 and <= 60;0,0617;215;801;50,1;7730000
Ghana;Africa;Western Africa;1985;<5000;>=50 and <= 60;0,262;154;1740;57,9;12800000
Liberia;Africa;Western Africa;1985;<5000;>=50 and <= 60;0,329;236;1610;52,3;2150000
Mauritania;Africa;Western Africa;1985;<5000;>=50 and <= 60;0,371;139;2720;58,6;1780000
Nigeria;Africa;Western Africa;1985;<5000;>=50 and <= 60;0,836;210;3270;55,6;83600000
Senegal;Africa;Western Africa;1985;<5000;>=50 and <= 60;0,413;173;1810;55,5;6470000
Togo;Africa;Western Africa;1985;<5000;>=50 and <= 60;0,169;158;1450;56,6;3250000
Benin;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,156;195;1600;54,3;4400000
Burkina Faso;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,0606;210;900;50,3;7930000
Ghana;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,233;149;1780;58,1;13200000
Guinea;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,191;255;1070;50,4;5630000
Liberia;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,331;239;1590;52,5;2160000
Mauritania;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,206;133;2810;59,3;1830000
Nigeria;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,857;211;2910;55,5;85800000
Senegal;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,398;165;1840;55,9;6670000
Togo;Africa;Western Africa;1986;<5000;>=50 and <= 60;0,21;155;1440;56,9;3360000
Benin;Africa;Western Africa;1987;<5000;>=50 and <= 60;0,119;191;1530;54,8;4540000
Burkina Faso;Africa;Western Africa;1987;<5000;>=50 and <= 60;0,0635;206;857;50,3;8140000
Ghana;Africa;Western Africa;1987;<5000;>=50 and <= 60;0,244;144;1810;58,3;13600000
Guinea;Africa;Western Africa;1987;<5000;>=50 and <= 60;0,185;250;1080;50,7;5800000
Liberia;Africa;Western Africa;1987;<5000;>=50 and <= 60;0,35;244;1620;52,6;2150000
Mauritania;Africa;Western Africa;1987;<5000;>=50 and <= 60;1,76;127;2830;59,6;1880000
Nigeria;Africa;Western Africa;1987;<5000;>=50 and <= 60;0,674;212;2540;55,3;88000000
Senegal;Africa;Western Africa;1987;<5000;>=50 and <= 60;0,356;157;1860;56,4;6880000
Togo;Africa;Western Africa;1987;<5000;>=50 and <= 60;0,221;152;1410;56,6;3470000
Benin;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,118;187;1530;55,2;4670000
Burkina Faso;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,0663;202;898;50,2;8360000
Ghana;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,249;138;1870;58,5;13900000
Guinea;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,185;245;1120;51;5980000
Liberia;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,378;249;1690;53;2130000
Nigeria;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,782;213;2660;55,1;90400000
Senegal;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,386;150;1900;56,8;7090000
Sierra Leone;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,11;265;1270;50;4160000
Togo;Africa;Western Africa;1988;<5000;>=50 and <= 60;0,221;149;1420;57,1;3580000
Benin;Africa;Western Africa;1989;<5000;>=50 and <= 60;0,131;183;1450;55,3;4820000
Burkina Faso;Africa;Western Africa;1989;<5000;>=50 and <= 60;0,0957;200;858;50,6;8580000
Ghana;Africa;Western Africa;1989;<5000;>=50 and <= 60;0,235;132;1910;58,7;14400000
Guinea;Africa;Western Africa;1989;<5000;>=50 and <= 60;0,181;240;1140;51,5;6170000
Liberia;Africa;Western Africa;1989;<5000;>=50 and <= 60;0,313;254;1760;53,2;2110000
Mauritania;Africa;Western Africa;1989;<5000;>=50 and <= 60;1,44;119;2910;60;1980000
Nigeria;Africa;Western Africa;1989;<5000;>=50 and <= 60;0,457;213;2760;54,9;92800000
