Country;Continent;Sub Region;Year;GDP per Capita (Grouped);Life Expectancy (Grouped);C02 Emissions per Person (Tonnes);Child Mortality Rate (per 1000 births);GDP per Capita;Life Expectancy;Population Total
Guyana;Americas;South America;1960;<5000;>=50 and <= 60;1,15;92,4;3100;59,4;572000
Haiti;Americas;Caribbean;1960;<5000;>=40 and < 50;0,074;286;2300;40,9;3870000
Honduras;Americas;Central America;1960;<5000;>=50 and <= 60;0,302;211;2510;50,1;2040000
Hungary;Europe;Eastern Europe;1960;>= 5000 and <20000;>60;4,54;53,6;9140;68;10000000
Iceland;Europe;Northern Europe;1960;>= 5000 and <20000;>60;6,91;21,4;11100;74,2;176000
India;Asia;Southern Asia;1960;<5000;>=40 and < 50;0,268;246;1040;41,5;451000000
Indonesia;Asia;South-Eastern Asia;1960;<5000;>=40 and < 50;0,244;222;1750;45,9;87800000
Iraq;Asia;Western Asia;1960;>= 5000 and <20000;>=40 and < 50;1,13;194;6080;49,8;7290000
Ireland;Europe;Northern Europe;1960;>= 5000 and <20000;>60;3,96;35,2;7800;70,5;2790000
Israel;Asia;Western Asia;1960;>= 5000 and <20000;>60;3,1;40,1;7000;67,3;2060000
Italy;Europe;Southern Europe;1960;>= 5000 and <20000;>60;2,2;51,9;10400;69,1;49700000
Jamaica;Americas;Caribbean;1960;>= 5000 and <20000;>60;0,903;84;5410;64,7;1630000
Japan;Asia;Eastern Asia;1960;<5000;>60;2,49;39,7;4840;68;93700000
Jordan;Asia;Western Asia;1960;<5000;>=50 and <= 60;0,798;157;4060;54,2;933000
Kazakhstan;Asia;Central Asia;1960;>= 5000 and <20000;>=50 and <= 60;11,4;107;8480;59,4;9930000
Kenya;Africa;Eastern Africa;1960;<5000;>=50 and <= 60;0,299;198;1890;50,9;8120000
Kiribati;Oceania;Micronesia;1960;<5000;>=40 and < 50;;196;2830;49,8;41200
Kuwait;Asia;Western Asia;1960;>= 5000 and <20000;>60;28,9;147;19300;63,2;269000
Latvia;Europe;Northern Europe;1960;>= 5000 and <20000;>60;;39;5510;70,2;2130000
Lebanon;Asia;Western Asia;1960;>= 5000 and <20000;>60;1,43;77,2;8910;63,7;1800000
Lesotho;Africa;Southern Africa;1960;<5000;>=50 and <= 60;;192;564;52,4;837000
Liberia;Africa;Western Africa;1960;<5000;>=40 and < 50;0,147;316;1760;41,3;1120000
Libya;Africa;Northern Africa;1960;>= 5000 and <20000;>=40 and < 50;0,478;278;12000;49,5;1450000
Lithuania;Europe;Northern Europe;1960;>= 5000 and <20000;>60;3,47;50;9090;70,3;2770000
Luxembourg;Europe;Western Europe;1960;>= 20000 and <40000;>60;36,6;36,1;22400;69,5;315000
Madagascar;Africa;Eastern Africa;1960;<5000;>=40 and < 50;0,0784;241;2280;44,8;5100000
Malawi;Africa;Eastern Africa;1960;<5000;>=40 and < 50;;363;522;40,3;3660000
Malaysia;Asia;South-Eastern Asia;1960;<5000;>=50 and <= 60;;93,3;3000;59,6;8160000
Maldives;Asia;Southern Asia;1960;<5000;0-40;;340;1090;32,2;89900
Mali;Africa;Western Africa;1960;<5000;0-40;0,023;448;834;34;5260000
Malta;Europe;Southern Europe;1960;<5000;>60;1,09;40,7;2790;66,7;313000
Marshall Islands;Oceania;Micronesia;1960;<5000;;;128;1700;;14700
Mauritania;Africa;Western Africa;1960;<5000;>=40 and < 50;0,0427;252;1670;47,5;850000
Mauritius;Africa;Eastern Africa;1960;<5000;>=50 and <= 60;0,272;103;2760;56,8;660000
Mexico;Americas;Central America;1960;>= 5000 and <20000;>=50 and <= 60;1,65;151;6000;57,7;37800000
Mongolia;Asia;Eastern Asia;1960;<5000;>=40 and < 50;1,35;241;1210;47,7;956000
Montenegro;Europe;Southern Europe;1960;>= 5000 and <20000;>60;;96,8;6610;66;487000
Morocco;Africa;Northern Africa;1960;<5000;>=50 and <= 60;0,295;237;1950;50,7;12300000
Mozambique;Africa;Eastern Africa;1960;<5000;>=40 and < 50;0,255;282;472;41,7;7180000
Myanmar;Asia;South-Eastern Asia;1960;<5000;>=40 and < 50;0,129;249;815;40,8;21700000
Namibia;Africa;Southern Africa;1960;<5000;>=50 and <= 60;;116;4680;51,5;634000
Nepal;Asia;Southern Asia;1960;<5000;>=40 and < 50;0,00802;323;958;43,8;10100000
Netherlands;Europe;Western Europe;1960;>= 5000 and <20000;>60;6,42;20,9;13100;73,5;11400000
New Zealand;Oceania;Australia and New Zealand;1960;>= 5000 and <20000;>60;4,87;27,9;16200;71,5;2370000
Nicaragua;Americas;Central America;1960;<5000;>=50 and <= 60;0,3;198;4280;50,8;1770000
Niger;Africa;Western Africa;1960;<5000;>=40 and < 50;0,00866;319;1200;42;3390000
Nigeria;Africa;Western Africa;1960;<5000;>=40 and < 50;0,0755;334;3820;49;45100000
Norway;Europe;Northern Europe;1960;>= 5000 and <20000;>60;3,66;22,6;15400;73,5;3580000
Oman;Asia;Western Asia;1960;<5000;>=40 and < 50;;381;4650;43;552000
Pakistan;Asia;Southern Asia;1960;<5000;>=40 and < 50;0,266;260;1210;49,1;45000000
Panama;Americas;Central America;1960;<5000;>60;0,88;90,6;4080;63,2;1130000
Papua New Guinea;Oceania;Melanesia;1960;<5000;>=40 and < 50;0,0894;199;1090;44,4;2260000
Paraguay;Americas;South America;1960;<5000;>60;0,16;83,2;2940;67,4;1900000
Peru;Americas;South America;1960;>= 5000 and <20000;>=40 and < 50;0,812;227;5380;43;10200000
Philippines;Asia;South-Eastern Asia;1960;<5000;>=50 and <= 60;0,317;105;2600;59,8;26300000
Poland;Europe;Eastern Europe;1960;>= 5000 and <20000;>60;6,75;64,6;6320;67,8;29600000
Portugal;Europe;Southern Europe;1960;>= 5000 and <20000;>60;0,925;114;5460;64,4;8840000
Qatar;Asia;Western Asia;1960;>= 5000 and <20000;>60;3,71;138;15500;60,3;47400
Romania;Europe;Eastern Europe;1960;>= 5000 and <20000;>60;2,87;95,2;6060;66;18600000
Rwanda;Africa;Eastern Africa;1960;<5000;>=40 and < 50;;222;635;44,2;2940000
Samoa;Oceania;Polynesia;1960;<5000;>=50 and <= 60;0,135;135;3340;58,2;109000
Sao Tome and Principe;Africa;Middle Africa;1960;<5000;>=50 and <= 60;0,171;144;1240;52,5;64300
Saudi Arabia;Asia;Western Asia;1960;>= 5000 and <20000;>=50 and <= 60;0,655;242;10200;54,9;4090000
Senegal;Africa;Western Africa;1960;<5000;>=40 and < 50;0,258;300;2020;45,5;3210000
Serbia;Europe;Southern Europe;1960;>= 5000 and <20000;>60;;108;6950;64,8;7560000
Seychelles;Africa;Eastern Africa;1960;>= 5000 and <20000;>60;;102;6030;60,9;41600
Sierra Leone;Africa;Western Africa;1960;<5000;0-40;0,311;393;1280;39,1;2320000
Singapore;Asia;South-Eastern Asia;1960;<5000;>60;0,853;47,8;4990;66;1630000
Slovenia;Europe;Southern Europe;1960;>= 5000 and <20000;>60;;24;8160;67,4;1590000
Solomon Islands;Oceania;Melanesia;1960;<5000;>=40 and < 50;0,0933;196;1110;49,5;118000
Somalia;Africa;Eastern Africa;1960;<5000;>=40 and < 50;0,0306;271;1210;44,2;2760000
South Africa;Africa;Southern Africa;1960;>= 5000 and <20000;>=50 and <= 60;5,61;183;7870;52,7;17100000
South Sudan;Africa;Eastern Africa;1960;<5000;>=40 and < 50;;357;2450;42,3;2840000
Spain;Europe;Southern Europe;1960;>= 5000 and <20000;>60;1,6;46,3;5740;69;30400000
Sri Lanka;Asia;Southern Asia;1960;<5000;>=50 and <= 60;0,229;99,4;1880;60;9870000
Sudan;Africa;Northern Africa;1960;<5000;>=40 and < 50;0,18;177;2280;48,5;7540000
Suriname;Americas;South America;1960;>= 5000 and <20000;>60;1,49;93,6;6940;60,8;288000
Swaziland;Africa;Southern Africa;1960;<5000;>=40 and < 50;0,0945;210;1920;47;337000
Sweden;Europe;Northern Europe;1960;>= 5000 and <20000;>60;6,58;19,6;15100;72,9;7480000
Switzerland;Europe;Western Europe;1960;>= 20000 and <40000;>60;3,69;26,5;27600;71,3;5280000
Tajikistan;Asia;Central Asia;1960;<5000;>=50 and <= 60;1,52;188;3370;52,9;2090000
Thailand;Asia;South-Eastern Asia;1960;<5000;>=50 and <= 60;0,136;147;1540;57,6;27400000
Timor-Leste;Asia;South-Eastern Asia;1960;<5000;0-40;;327;719;37,1;475000
